trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-219.65635611133166,"{0: 14, 1: 7, 2: 4, 3: 2, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,10,-62.43522413669954,"{0: 5, 1: 2, 2: 2, 3: 0, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,11,-4.947313429041625,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-77.67308470161981,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-25.90780478234159,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-221.69537060980227,"{0: 17, 1: 0, 2: 8, 3: 2, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-39.40137774240987,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-103.6986748679001,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,17,1.4317116864987378,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-88.25756865985907,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-167.8389553003858,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-93.49423578777439,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,7,3.806340219644233,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-120.79542512601867,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-76.53694510977789,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,15,10.69826189504816,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,5.51494547349137,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,15,-68.13115215507491,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 2}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,3,-9.39578059742205,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-65.54351749050191,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,22.458416073412995,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",30,0,-37.30456996476005,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-96.40462075103858,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 3}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-89.35069779575292,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,16,6.4051793651251625,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,0,-39.45058855456575,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-123.53904845416463,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
8,True,"{'a': 0.0, 'e': 0.0}",30,0,-154.75981074490048,"{0: 20, 1: 0, 2: 6, 3: 2, 4: 2}",0
9,True,"{'a': 0.0, 'e': 0.0}",25,0,-64.30423989714578,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,7,-36.114416224046415,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
