trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9999999979388463}",30,15,-93.87817535790487,"{0: 7, 1: 2, 2: 5, 3: 0, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.9999999978331688}",20,0,-99.4985703595755,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.999999997722073}",20,0,-27.60951739696094,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.9999999976052811}",25,0,-124.20174507807211,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9999999974825013}",25,0,-182.35448184601458,"{0: 13, 1: 1, 2: 7, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9999999973534264}",20,0,-119.09281670492672,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9999999972177336}",20,0,-141.1037691280435,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.9999999970750837}",20,0,-202.79677527124093,"{0: 9, 1: 3, 2: 4, 3: 0, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.9999999969251201}",25,0,-141.91991459414618,"{0: 14, 1: 5, 2: 3, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9999999967674678}",20,0,-61.28752188356943,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.9999999966017321}",25,0,-145.55221609958454,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.9999999964274993}",20,0,-92.3242530485104,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9999999962443333}",25,10,-20.331830771999734,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 0}",1
