trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.47865501889551,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-26.01171528408684,"{0: 13, 1: 6, 2: 1, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-130.61181632640344,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.67622720866044,"{0: 8, 1: 3, 2: 8, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-193.03743156396558,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 4}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-116.24683011565057,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-118.74746232342889,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-95.95415969204419,"{0: 12, 1: 0, 2: 5, 3: 3, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-175.80086758739367,"{0: 13, 1: 6, 2: 2, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-111.12400224142107,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-150.05428904012896,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,13,-29.99395844460846,"{0: 7, 1: 2, 2: 3, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-122.78252633493999,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-94.46616751177895,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-111.87320123679947,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-170.25113371027012,"{0: 14, 1: 0, 2: 7, 3: 2, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,6,-62.814774357760335,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-125.17352329140665,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,2,-100.51663933658712,"{0: 16, 1: 0, 2: 4, 3: 2, 4: 1}",1
20,False,"{'a': 0.5, 'e': 1.0}",25,1,-162.22411704545297,"{0: 12, 1: 4, 2: 5, 3: 1, 4: 2}",1
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-133.12750131716592,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-113.38270381193487,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-133.45782166894466,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-62.92827973595747,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-105.40447209522229,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-130.6089392187767,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,4,-137.0313750469,"{0: 15, 1: 1, 2: 7, 3: 2, 4: 1}",1
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-186.19554520073652,"{0: 11, 1: 5, 2: 5, 3: 2, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,9,-5.161773544691174,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
10,True,"{'a': 0.5, 'e': 1.0}",20,0,12.67964313181163,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
